date,temperature_max,temperature_min,temperature_mean,rain_sum,wind_speed,shortwave_radiation
2020-07-16,36.8405,22.6905,29.425919,0.0,18.94024,27.37
2020-07-17,35.5905,24.1405,29.182169,0.0,17.114204,25.63
2020-07-18,32.4905,22.9405,26.178001,8.5,22.253124,17.96
2020-07-19,29.5905,21.3905,25.117584,6.2,12.24,14.72
2020-07-20,31.790499,22.3905,26.830086,0.2,12.88981,24.15
2020-07-21,31.1905,22.6405,27.373835,1.4,13.0447235,21.83
2020-07-22,32.390503,22.9405,27.921753,0.1,15.137133,23.72
2020-07-23,33.3405,24.0905,28.348831,0.0,16.981165,25.84
2020-07-24,34.7405,22.9905,28.944666,0.6,9.885262,25.06
2020-07-25,31.4905,25.3405,27.950914,7.0999994,14.241629,17.28
2020-07-26,25.4405,22.540499,24.219667,121.799995,26.576681,4.11
2020-07-27,24.290499,21.8905,22.844666,73.799995,27.397867,5.44
2020-07-28,27.1905,21.790499,24.050917,0.6,18.057508,14.33
2020-07-29,27.1405,21.7405,24.011332,2.6999996,14.799459,16.68
2020-07-30,28.7405,21.0905,24.609251,0.70000005,8.209263,15.49
2020-07-31,29.6905,22.4405,25.998835,0.6,9.360001,20.42
2020-08-01,29.4905,23.1405,25.898836,5.7,10.703569,20.36
2020-08-02,29.7405,22.6405,25.542587,0.70000005,10.041354,23.96
2020-08-03,31.3905,21.8405,26.4655,0.0,9.746631,28.37
2020-08-04,30.3905,21.9905,26.307167,0.0,12.605142,27.12
2020-08-05,30.6405,21.9905,26.205084,0.0,15.745627,24.13
2020-08-06,30.4405,22.0905,26.123838,0.1,16.78156,21.94
2020-08-07,29.9905,21.9405,25.932169,0.8,17.447933,22.07
2020-08-08,31.4905,21.2405,26.211334,0.0,19.161337,23.8
2020-08-09,32.640503,21.1905,25.84675,0.0,20.808498,24.92
2020-08-10,32.8405,19.7405,25.700918,0.0,18.671474,27.35
2020-08-11,33.440502,20.6905,26.546751,0.0,17.786331,27.27
2020-08-12,33.5905,21.1905,27.28425,0.0,15.2947035,26.51
2020-08-13,33.5905,20.6405,27.280083,0.0,17.414474,27.42
2020-08-14,33.640503,21.540499,27.311333,0.0,15.617529,27.87
2020-08-15,33.8405,21.6905,27.663422,0.0,16.904673,27.71
2020-08-16,32.890503,21.4405,27.38217,0.0,15.941944,26.43
2020-08-17,32.8405,21.4905,27.171753,0.0,14.48972,25.55
2020-08-18,32.4905,22.4405,27.519669,0.0,12.7279215,23.05
2020-08-19,32.0405,23.4905,27.85092,0.0,12.496719,21.93
2020-08-20,33.890503,22.3405,28.528002,0.0,13.363711,26.15
2020-08-21,35.4905,22.9405,29.173834,0.0,13.708391,26.57
2020-08-22,34.7905,21.9905,28.338415,0.0,14.689589,26.71
2020-08-23,30.9905,22.5905,26.452997,0.5,14.264361,22.4
2020-08-24,29.2405,21.1905,25.398834,0.9000001,11.726277,20.34
2020-08-25,30.790499,21.6905,25.79258,2.1999998,13.138765,22.5
2020-08-26,33.3405,23.7405,28.617582,0.0,13.363711,24.38
2020-08-27,35.390503,24.3905,30.073835,0.0,15.7908325,25.16
2020-08-28,35.2405,23.040499,29.08425,0.0,15.2947035,25.92
2020-08-29,34.940502,23.040499,28.732164,0.0,16.327497,25.02
2020-08-30,34.7905,23.4905,28.97175,0.0,12.661564,23.68
2020-08-31,35.140503,23.6405,29.388414,0.2,12.10157,22.91
2020-09-01,36.390503,24.2405,30.255083,0.4,16.29174,22.93
2020-09-02,34.0905,24.3905,29.248835,0.2,7.628263,21.87
2020-09-03,35.140503,24.1405,29.046753,0.0,11.885453,24.7
2020-09-04,33.0905,23.040499,27.15925,0.8,19.930477,21.89
2020-09-05,25.3405,21.3405,22.657164,34.5,15.463244,9.19
2020-09-06,26.290499,20.9405,22.9905,6.4000006,11.879999,13.93
2020-09-07,27.6405,20.9905,24.144667,0.2,13.698934,16.95
2020-09-08,29.0905,21.6405,24.834251,0.2,9.83268,14.93
2020-09-09,28.6405,21.1905,24.544668,7.7000003,11.252519,14.91
2020-09-10,21.0905,17.8905,19.475916,36.599995,10.182337,8.21
2020-09-11,24.1405,17.040499,20.496748,0.9,10.691453,13.85
2020-09-12,26.9905,18.6905,22.994667,0.3,10.383987,19.2
2020-09-13,28.6405,22.9405,25.394669,2.0000002,9.178235,21.37
2020-09-14,26.8905,22.3905,24.102999,16.700003,9.0645685,17.63
2020-09-15,26.040499,21.2405,23.680084,15.200002,8.825508,13.31
2020-09-16,28.040499,21.9905,24.892584,6.3999996,9.693296,18.43
2020-09-17,26.4905,21.7405,23.338415,15.500001,9.007196,17.74
2020-09-18,26.2405,20.0905,23.025917,7.4999995,11.304229,19.76
2020-09-19,26.1405,20.5905,23.102999,4.4999995,10.703569,20.59
2020-09-20,27.0905,20.1905,23.409248,0.0,8.287822,24.52
2020-09-21,28.3905,18.4905,23.22175,0.0,13.513193,25.02
2020-09-22,29.9405,18.7405,24.148829,0.0,11.019764,24.78
2020-09-23,29.4905,20.040499,24.59258,0.0,7.754637,24.29
2020-09-24,28.9405,22.3905,24.907167,0.0,9.693296,23.62
2020-09-25,29.1905,21.1905,24.773832,0.0,8.311245,22.13
2020-09-26,30.1405,20.2405,25.096748,0.0,7.771331,23.04
2020-09-27,32.5405,20.6405,26.428001,0.0,9.47012,23.57
2020-09-28,27.0905,19.8905,23.803,8.3,19.493261,11.52
2020-09-29,23.6905,16.6405,20.669664,0.0,9.422101,22.45
2020-09-30,25.8905,15.4905,20.415499,0.0,9.726665,24.22
2020-10-01,27.1905,17.0905,21.365503,0.0,13.004921,24.0
2020-10-02,26.6905,18.2405,21.800917,0.0,17.76081,23.51
2020-10-03,29.0905,15.1905,21.859251,0.0,14.84318,23.46
2020-10-04,28.290499,16.4405,21.980085,0.0,17.654688,22.62
2020-10-05,28.7405,17.3405,22.653,0.0,13.32,23.04
2020-10-06,29.040499,19.1905,23.28842,0.0,11.27553,23.15
2020-10-07,28.4905,18.8905,23.488419,0.0,9.178235,20.16
2020-10-08,29.7405,17.6405,24.515497,0.0,7.7043357,22.62
2020-10-09,32.7905,18.1905,25.109251,0.0,7.8954163,22.96
2020-10-10,34.190502,18.8405,26.175917,0.0,9.826088,22.94
2020-10-11,33.190502,18.4905,25.98633,0.0,11.252519,22.77
2020-10-12,32.440502,21.540499,26.369667,0.0,13.237039,22.08
2020-10-13,30.4405,21.040499,25.515497,0.0,12.768586,18.16
2020-10-14,31.0905,20.0905,25.482164,0.0,10.041354,20.9
2020-10-15,34.5405,21.0905,27.844671,0.0,12.682018,21.16
2020-10-16,25.9405,17.4405,21.873835,0.5,15.844089,9.2
2020-10-17,27.290499,14.790501,20.613417,0.0,14.48972,20.6
2020-10-18,30.540499,16.9905,23.267584,0.0,10.823973,21.01
2020-10-19,30.5905,19.2405,24.4655,0.0,12.181625,20.12
2020-10-20,30.790499,20.290499,24.77175,0.0,15.315873,18.6
2020-10-21,29.1905,20.0905,23.936338,0.2,16.179985,17.22
2020-10-22,29.6905,20.290499,24.371752,0.0,13.207634,19.4
2020-10-23,31.6905,19.3405,25.198835,0.0,12.10157,20.26
2020-10-24,24.3905,16.4905,19.505083,2.2,11.841756,10.68
2020-10-25,28.9405,16.4405,21.827997,0.0,11.27553,16.92
2020-10-26,28.9405,18.290499,23.348831,0.2,13.684735,18.36
2020-10-27,20.540499,9.040501,13.971749,9.2,8.854829,8.01
2020-10-28,19.6405,6.2405,12.548833,0.6,11.384198,19.56
2020-10-29,24.290499,10.290501,17.369665,0.0,11.384198,20.11
2020-10-30,20.9405,12.790501,16.288416,0.0,10.009036,19.82
